_id,reactant,product,reaction,condition,template_r0,template_r1
52,CBr.[Mg],C[Mg]Br,[CH3:1][Br:3].[Mg:2]>>[CH3:1][Mg:2][Br:3],无水乙醚，I2,[Br;H0;D1;+0:1]-[Mg;H0;D2;+0:3]-[CH3;D1;+0:2]>>[Br;H0;D1;+0:1]-[CH3;D1;+0:2].[Mg;H0;D0;+0:3],[Br;H0;D1;+0:1]-[Mg;H0;D2;+0:3]-[CH3;D1;+0:2]>>[Br;H0;D1;+0:1]-[CH3;D1;+0:2].[Mg;H0;D0;+0:3]
53,[Mg].CBr,C[Mg]Br,[Mg:2].[CH3:1][Br:3]>>[CH3:1][Mg:2][Br:3],无水乙醚,[Br;H0;D1;+0:1]-[Mg;H0;D2;+0:3]-[CH3;D1;+0:2]>>[Br;H0;D1;+0:1]-[CH3;D1;+0:2].[Mg;H0;D0;+0:3],[Br;H0;D1;+0:1]-[Mg;H0;D2;+0:3]-[CH3;D1;+0:2]>>[Br;H0;D1;+0:1]-[CH3;D1;+0:2].[Mg;H0;D0;+0:3]
54,CC(C)C(O)C.Br,CC(C)(Br)CC,[CH3:1][CH:2]([CH3:3])[CH:5](O)[CH3:6].[BrH:4]>>[CH3:1][C:2]([CH3:3])([Br:4])[CH2:5][CH3:6],HBr,[Br;H0;D1;+0:3]-[C;H0;D4;+0:2]-[CH2;D2;+0:1]>>O-[CH;D3;+0:1]-[CH;D3;+0:2].[BrH;D0;+0:3],[Br;H0;D1;+0:6]-[C;H0;D4;+0:3](-[C;D1;H3:4])(-[C;D1;H3:5])-[CH2;D2;+0:1]-[C;D1;H3:2]>>O-[CH;D3;+0:1](-[C;D1;H3:2])-[CH;D3;+0:3](-[C;D1;H3:4])-[C;D1;H3:5].[BrH;D0;+0:6]
55,CC#C,CC#[C-].[Na+],[CH3:1][C:2]#[CH:3]>>[CH3:1][C:2]#[C-:3].[Na+:4],NaNH2,[C-;H0;D1:1]>>[CH;D1;+0:1],[C-;H0;D1:2]#[C:1]>>[C:1]#[CH;D1;+0:2]
56,CC(C)(C)F.C#N,CC(C)(C)C#N,[CH3:1][C:2]([CH3:3])([CH3:4])F.[CH:5]#[N:6]>>[CH3:1][C:2]([CH3:3])([CH3:4])[C:5]#[N:6],,[C;H0;D2;+0:2]-[C;H0;D4;+0:1]>>F-[C;H0;D4;+0:1].[CH;D1;+0:2],[C;D1;H3:2]-[C;H0;D4;+0:1](-[C;D1;H3:3])(-[C;D1;H3:4])-[C;H0;D2;+0:5]#[N;D1;H0:6]>>F-[C;H0;D4;+0:1](-[C;D1;H3:2])(-[C;D1;H3:3])-[C;D1;H3:4].[CH;D1;+0:5]#[N;D1;H0:6]
57,CC#C.CC(C)Br,CC#CC(C)C,[CH3:1][C:2]#[CH:3].[CH3:5][CH:4]([CH3:6])Br>>[CH3:1][C:2]#[C:3][CH:4]([CH3:5])[CH3:6],NaNH2,[C;H0;D2;+0:2]-[CH;D3;+0:1]>>Br-[CH;D3;+0:1].[CH;D1;+0:2],[C:4]#[C;H0;D2;+0:5]-[CH;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3]>>Br-[CH;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3].[C:4]#[CH;D1;+0:5]
58,CC(C)F.C#N,CC(C)C#N,[CH3:1][CH:2]([CH3:3])F.[CH:4]#[N:5]>>[CH3:1][CH:2]([CH3:3])[C:4]#[N:5],,[C;H0;D2;+0:2]-[CH;D3;+0:1]>>F-[CH;D3;+0:1].[CH;D1;+0:2],[C;D1;H3:2]-[CH;D3;+0:1](-[C;D1;H3:3])-[C;H0;D2;+0:4]#[N;D1;H0:5]>>F-[CH;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3].[CH;D1;+0:4]#[N;D1;H0:5]
59,CC#C.CCBr,CC#CCC,[CH3:1][C:2]#[CH:3].[CH3:5][CH2:4]Br>>[CH3:1][C:2]#[C:3][CH2:4][CH3:5],NaNH2,[C;H0;D2;+0:2]-[CH2;D2;+0:1]>>Br-[CH2;D2;+0:1].[CH;D1;+0:2],[C:3]#[C;H0;D2;+0:4]-[CH2;D2;+0:1]-[C;D1;H3:2]>>Br-[CH2;D2;+0:1]-[C;D1;H3:2].[C:3]#[CH;D1;+0:4]
60,CCF.C#N,CCC#N,[CH3:1][CH2:2]F.[CH:3]#[N:4]>>[CH3:1][CH2:2][C:3]#[N:4],,[C;H0;D2;+0:2]-[CH2;D2;+0:1]>>F-[CH2;D2;+0:1].[CH;D1;+0:2],[C;D1;H3:2]-[CH2;D2;+0:1]-[C;H0;D2;+0:3]#[N;D1;H0:4]>>F-[CH2;D2;+0:1]-[C;D1;H3:2].[CH;D1;+0:3]#[N;D1;H0:4]
61,CBr.C#N,CC#N,[CH3:1]Br.[CH:2]#[N:3]>>[CH3:1][C:2]#[N:3],,[C;H0;D2;+0:2]-[CH3;D1;+0:1]>>Br-[CH3;D1;+0:1].[CH;D1;+0:2],[CH3;D1;+0:1]-[C;H0;D2;+0:2]#[N;D1;H0:3]>>Br-[CH3;D1;+0:1].[CH;D1;+0:2]#[N;D1;H0:3]
62,CC#C.CBr,CC#CC,[CH3:1][C:2]#[CH:3].[CH3:4]Br>>[CH3:1][C:2]#[C:3][CH3:4],NaNH2,[C;H0;D2;+0:2]-[CH3;D1;+0:1]>>Br-[CH3;D1;+0:1].[CH;D1;+0:2],[C:2]#[C;H0;D2;+0:3]-[CH3;D1;+0:1]>>Br-[CH3;D1;+0:1].[C:2]#[CH;D1;+0:3]
63,CF.C#N,CC#N,[CH3:1]F.[CH:2]#[N:3]>>[CH3:1][C:2]#[N:3],,[C;H0;D2;+0:2]-[CH3;D1;+0:1]>>F-[CH3;D1;+0:1].[CH;D1;+0:2],[CH3;D1;+0:1]-[C;H0;D2;+0:2]#[N;D1;H0:3]>>F-[CH3;D1;+0:1].[CH;D1;+0:2]#[N;D1;H0:3]
