_id,reactant,product,reaction,condition,template_r0,template_r1
761,CC(C)C(=O)CC.NO,CC(C)C(=NO)CC,[CH3:1][CH:2]([CH3:3])[C:4](=O)[CH2:7][CH3:8].[NH2:5][OH:6]>>[CH3:1][CH:2]([CH3:3])[C:4](=[N:5][OH:6])[CH2:7][CH3:8],,[C;H0;D3;+0:1]=[N;H0;D2;+0:2]>>O=[C;H0;D3;+0:1].[NH2;D1;+0:2],[C:2]-[C;H0;D3;+0:1](-[C:3])=[N;H0;D2;+0:4]-[O;D1;H1:5]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3].[NH2;D1;+0:4]-[O;D1;H1:5]
762,CC(C)C(=O)C(C)C.NO,CC(C)C(=NO)C(C)C,[CH3:1][CH:2]([CH3:3])[C:4](=O)[CH:7]([CH3:8])[CH3:9].[NH2:5][OH:6]>>[CH3:1][CH:2]([CH3:3])[C:4](=[N:5][OH:6])[CH:7]([CH3:8])[CH3:9],,[C;H0;D3;+0:1]=[N;H0;D2;+0:2]>>O=[C;H0;D3;+0:1].[NH2;D1;+0:2],[C:2]-[C;H0;D3;+0:1](-[C:3])=[N;H0;D2;+0:4]-[O;D1;H1:5]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3].[NH2;D1;+0:4]-[O;D1;H1:5]
763,CC(C)(C)C(=O)C(C)C.NO,CC(C)(C)C(=NO)C(C)C,[CH3:1][C:2]([CH3:3])([CH3:4])[C:5](=O)[CH:8]([CH3:9])[CH3:10].[NH2:6][OH:7]>>[CH3:1][C:2]([CH3:3])([CH3:4])[C:5](=[N:6][OH:7])[CH:8]([CH3:9])[CH3:10],,[C;H0;D3;+0:1]=[N;H0;D2;+0:2]>>O=[C;H0;D3;+0:1].[NH2;D1;+0:2],[C:2]-[C;H0;D3;+0:1](-[C:3])=[N;H0;D2;+0:4]-[O;D1;H1:5]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3].[NH2;D1;+0:4]-[O;D1;H1:5]
764,CC(C)(C)C(=O)C(C)(C)C.NO,CC(C)(C)C(=NO)C(C)(C)C,[CH3:1][C:2]([CH3:3])([CH3:4])[C:5](=O)[C:8]([CH3:9])([CH3:10])[CH3:11].[NH2:6][OH:7]>>[CH3:1][C:2]([CH3:3])([CH3:4])[C:5](=[N:6][OH:7])[C:8]([CH3:9])([CH3:10])[CH3:11],,[C;H0;D3;+0:1]=[N;H0;D2;+0:2]>>O=[C;H0;D3;+0:1].[NH2;D1;+0:2],[C:2]-[C;H0;D3;+0:1](-[C:3])=[N;H0;D2;+0:4]-[O;D1;H1:5]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3].[NH2;D1;+0:4]-[O;D1;H1:5]
765,CC#N,CC(=O)O,[CH3:1][C:2]#N>>[CH3:1][C:2](=[O:3])[OH:4],,[C;H0;D3;+0:1]>>N#[C;H0;D2;+0:1],[C;D1;H3:2]-[C;H0;D3;+0:1]>>N#[C;H0;D2;+0:1]-[C;D1;H3:2]
766,CCC#N,CCC(=O)O,[CH3:1][CH2:2][C:3]#N>>[CH3:1][CH2:2][C:3](=[O:4])[OH:5],,[C;H0;D3;+0:1]>>N#[C;H0;D2;+0:1],[C:2]-[C;H0;D3;+0:1]>>N#[C;H0;D2;+0:1]-[C:2]
767,CC(C)C#N,CC(C)C(=O)O,[CH3:1][CH:2]([CH3:3])[C:4]#N>>[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[OH:6],,[C;H0;D3;+0:1]>>N#[C;H0;D2;+0:1],[C:2]-[C;H0;D3;+0:1]>>N#[C;H0;D2;+0:1]-[C:2]
768,CC(C)(C)C#N,CC(C)(C)C(=O)O,[CH3:1][C:2]([CH3:3])([CH3:4])[C:5]#N>>[CH3:1][C:2]([CH3:3])([CH3:4])[C:5](=[O:6])[OH:7],,[C;H0;D3;+0:1]>>N#[C;H0;D2;+0:1],[C:2]-[C;H0;D3;+0:1]>>N#[C;H0;D2;+0:1]-[C:2]
769,CC(OC)(OC)C,CC(=O)C,[CH3:1][C:2](OC)([O:3]C)[CH3:4]>>[CH3:1][C:2](=[O:3])[CH3:4],,[C;H0;D3;+0:1]=[O;H0;D1;+0:2]>>C-O-[C;H0;D4;+0:1]-[O;H0;D2;+0:2]-C,[C;D1;H3:2]-[C;H0;D3;+0:1](-[C;D1;H3:3])=[O;H0;D1;+0:4]>>C-O-[C;H0;D4;+0:1](-[C;D1;H3:2])(-[C;D1;H3:3])-[O;H0;D2;+0:4]-C
770,CC(=O)C.OCCCO,CC1(OCCCO1)C,[CH3:1][C:2](=[O:3])[CH3:8].O[CH2:4][CH2:5][CH2:6][OH:7]>>[CH3:1][C:2]1([CH3:8])[O:3][CH2:4][CH2:5][CH2:6][O:7]1,,[CH2;D2;+0:1]-[O;H0;D2;+0:4]-[C;H0;D4;+0:3]-[O;H0;D2;+0:2]>>O-[CH2;D2;+0:1].[OH;D1;+0:2].[C;H0;D3;+0:3]=[O;H0;D1;+0:4],[C;D1;H3:5]-[C;H0;D4;+0:6]1(-[C;D1;H3:7])-[O;H0;D2;+0:8]-[CH2;D2;+0:1]-[C:2]-[C:3]-[O;H0;D2;+0:4]-1>>O-[CH2;D2;+0:1]-[C:2]-[C:3]-[OH;D1;+0:4].[C;D1;H3:5]-[C;H0;D3;+0:6](-[C;D1;H3:7])=[O;H0;D1;+0:8]
771,C=O.OS(=O)O,C(S(=O)(=O)O)O,[CH2:1]=[O:6].[OH:3][S:2](=[O:4])[OH:5]>>[CH2:1]([S:2](=[O:3])(=[O:4])[OH:5])[OH:6],,[O;H0;D1;+0:3]=[S;H0;D4;+0:4]-[CH2;D2;+0:1]-[OH;D1;+0:2]>>[CH2;D1;+0:1]=[O;H0;D1;+0:2].[OH;D1;+0:3]-[S;H0;D3;+0:4],[O;D1;H0:3]=[S;H0;D4;+0:4](-[O;D1;H1:5])(=[O;H0;D1;+0:6])-[CH2;D2;+0:1]-[OH;D1;+0:2]>>[CH2;D1;+0:1]=[O;H0;D1;+0:2].[O;D1;H0:3]=[S;H0;D3;+0:4](-[O;D1;H1:5])-[OH;D1;+0:6]
772,CC=O.OS(=O)O,CC(S(=O)(=O)O)O,[CH3:1][CH:2]=[O:7].[OH:4][S:3](=[O:5])[OH:6]>>[CH3:1][CH:2]([S:3](=[O:4])(=[O:5])[OH:6])[OH:7],,[O;H0;D1;+0:3]=[S;H0;D4;+0:4]-[CH;D3;+0:1]-[OH;D1;+0:2]>>[CH;D2;+0:1]=[O;H0;D1;+0:2].[OH;D1;+0:3]-[S;H0;D3;+0:4],[C;D1;H3:1]-[CH;D3;+0:2](-[OH;D1;+0:3])-[S;H0;D4;+0:5](=[O;D1;H0:4])(-[O;D1;H1:6])=[O;H0;D1;+0:7]>>[C;D1;H3:1]-[CH;D2;+0:2]=[O;H0;D1;+0:3].[O;D1;H0:4]=[S;H0;D3;+0:5](-[O;D1;H1:6])-[OH;D1;+0:7]
773,CC(=O)C.OS(=O)O,CC(S(=O)(=O)O)(O)C,[CH3:1][C:2](=[O:7])[CH3:8].[OH:4][S:3](=[O:5])[OH:6]>>[CH3:1][C:2]([S:3](=[O:4])(=[O:5])[OH:6])([OH:7])[CH3:8],,[O;H0;D1;+0:3]=[S;H0;D4;+0:4]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[OH;D1;+0:3]-[S;H0;D3;+0:4],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[OH;D1;+0:4])-[S;H0;D4;+0:6](=[O;D1;H0:5])(-[O;D1;H1:7])=[O;H0;D1;+0:8]>>[C;D1;H3:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[O;H0;D1;+0:4].[O;D1;H0:5]=[S;H0;D3;+0:6](-[O;D1;H1:7])-[OH;D1;+0:8]
774,CCC(=O)C.OS(=O)O,CCC(S(=O)(=O)O)(O)C,[CH3:1][CH2:2][C:3](=[O:8])[CH3:9].[OH:5][S:4](=[O:6])[OH:7]>>[CH3:1][CH2:2][C:3]([S:4](=[O:5])(=[O:6])[OH:7])([OH:8])[CH3:9],,[O;H0;D1;+0:3]=[S;H0;D4;+0:4]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[OH;D1;+0:3]-[S;H0;D3;+0:4],[C:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[OH;D1;+0:4])-[S;H0;D4;+0:6](=[O;D1;H0:5])(-[O;D1;H1:7])=[O;H0;D1;+0:8]>>[C:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[O;H0;D1;+0:4].[O;D1;H0:5]=[S;H0;D3;+0:6](-[O;D1;H1:7])-[OH;D1;+0:8]
775,CCC(=O)CC.OS(=O)O,CCC(S(=O)(=O)O)(O)CC,[CH3:1][CH2:2][C:3](=[O:8])[CH2:9][CH3:10].[OH:5][S:4](=[O:6])[OH:7]>>[CH3:1][CH2:2][C:3]([S:4](=[O:5])(=[O:6])[OH:7])([OH:8])[CH2:9][CH3:10],,[O;H0;D1;+0:3]=[S;H0;D4;+0:4]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[OH;D1;+0:3]-[S;H0;D3;+0:4],[C:1]-[C;H0;D4;+0:2](-[C:3])(-[OH;D1;+0:4])-[S;H0;D4;+0:6](=[O;D1;H0:5])(-[O;D1;H1:7])=[O;H0;D1;+0:8]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4].[O;D1;H0:5]=[S;H0;D3;+0:6](-[O;D1;H1:7])-[OH;D1;+0:8]
776,CC(C)C(=O)CC.OS(=O)O,CC(C)C(S(=O)(=O)O)(O)CC,[CH3:1][CH:2]([CH3:3])[C:4](=[O:9])[CH2:10][CH3:11].[OH:6][S:5](=[O:7])[OH:8]>>[CH3:1][CH:2]([CH3:3])[C:4]([S:5](=[O:6])(=[O:7])[OH:8])([OH:9])[CH2:10][CH3:11],,[O;H0;D1;+0:3]=[S;H0;D4;+0:4]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[OH;D1;+0:3]-[S;H0;D3;+0:4],[C:1]-[C;H0;D4;+0:2](-[C:3])(-[OH;D1;+0:4])-[S;H0;D4;+0:6](=[O;D1;H0:5])(-[O;D1;H1:7])=[O;H0;D1;+0:8]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4].[O;D1;H0:5]=[S;H0;D3;+0:6](-[O;D1;H1:7])-[OH;D1;+0:8]
777,CC(C)C(=O)C(C)C.OS(=O)O,CC(C)C(S(=O)(=O)O)(O)C(C)C,[CH3:11][CH:10]([CH3:12])[C:4](=[O:9])[CH:2]([CH3:1])[CH3:3].[OH:6][S:5](=[O:7])[OH:8]>>[CH3:1][CH:2]([CH3:3])[C:4]([S:5](=[O:6])(=[O:7])[OH:8])([OH:9])[CH:10]([CH3:11])[CH3:12],,[O;H0;D1;+0:3]=[S;H0;D4;+0:4]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[OH;D1;+0:3]-[S;H0;D3;+0:4],[C:1]-[C;H0;D4;+0:2](-[C:3])(-[OH;D1;+0:4])-[S;H0;D4;+0:6](=[O;D1;H0:5])(-[O;D1;H1:7])=[O;H0;D1;+0:8]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4].[O;D1;H0:5]=[S;H0;D3;+0:6](-[O;D1;H1:7])-[OH;D1;+0:8]
778,CC(C)(C)C(=O)C(C)C.OS(=O)O,CC(C)(C)C(S(=O)(=O)O)(O)C(C)C,[CH3:1][C:2]([CH3:3])([CH3:4])[C:5](=[O:10])[CH:11]([CH3:12])[CH3:13].[OH:7][S:6](=[O:8])[OH:9]>>[CH3:1][C:2]([CH3:3])([CH3:4])[C:5]([S:6](=[O:7])(=[O:8])[OH:9])([OH:10])[CH:11]([CH3:12])[CH3:13],,[O;H0;D1;+0:3]=[S;H0;D4;+0:4]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[OH;D1;+0:3]-[S;H0;D3;+0:4],[C:1]-[C;H0;D4;+0:2](-[C:3])(-[OH;D1;+0:4])-[S;H0;D4;+0:6](=[O;D1;H0:5])(-[O;D1;H1:7])=[O;H0;D1;+0:8]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4].[O;D1;H0:5]=[S;H0;D3;+0:6](-[O;D1;H1:7])-[OH;D1;+0:8]
779,CC(C)(C)C(=O)C(C)(C)C.OS(=O)O,CC(C)(C)C(S(=O)(=O)O)(O)C(C)(C)C,[CH3:12][C:11]([CH3:13])([CH3:14])[C:5](=[O:10])[C:2]([CH3:1])([CH3:3])[CH3:4].[OH:7][S:6](=[O:8])[OH:9]>>[CH3:1][C:2]([CH3:3])([CH3:4])[C:5]([S:6](=[O:7])(=[O:8])[OH:9])([OH:10])[C:11]([CH3:12])([CH3:13])[CH3:14],,[O;H0;D1;+0:3]=[S;H0;D4;+0:4]-[C;H0;D4;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2].[OH;D1;+0:3]-[S;H0;D3;+0:4],[C:1]-[C;H0;D4;+0:2](-[C:3])(-[OH;D1;+0:4])-[S;H0;D4;+0:6](=[O;D1;H0:5])(-[O;D1;H1:7])=[O;H0;D1;+0:8]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4].[O;D1;H0:5]=[S;H0;D3;+0:6](-[O;D1;H1:7])-[OH;D1;+0:8]
780,C=O,CO,[CH2:1]=[O:2]>>[CH3:1][OH:2],"H2, Pd or Ni",[CH3;D1;+0:1]-[OH;D1;+0:2]>>[CH2;D1;+0:1]=[O;H0;D1;+0:2],[CH3;D1;+0:1]-[OH;D1;+0:2]>>[CH2;D1;+0:1]=[O;H0;D1;+0:2]
781,CC=O,CCO,[CH3:1][CH:2]=[O:3]>>[CH3:1][CH2:2][OH:3],"H2, Pd or Ni",[CH2;D2;+0:1]-[OH;D1;+0:2]>>[CH;D2;+0:1]=[O;H0;D1;+0:2],[C;D1;H3:1]-[CH2;D2;+0:2]-[OH;D1;+0:3]>>[C;D1;H3:1]-[CH;D2;+0:2]=[O;H0;D1;+0:3]
782,CC(=O)C,CC(O)C,[CH3:1][C:2](=[O:3])[CH3:4]>>[CH3:1][CH:2]([OH:3])[CH3:4],"H2, Pd or Ni",[CH;D3;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2],[C;D1;H3:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[OH;D1;+0:4]>>[C;D1;H3:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[O;H0;D1;+0:4]
783,CCC(=O)C,CCC(O)C,[CH3:1][CH2:2][C:3](=[O:4])[CH3:5]>>[CH3:1][CH2:2][CH:3]([OH:4])[CH3:5],"H2, Pd or Ni",[CH;D3;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2],[C:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[O;H0;D1;+0:4]
784,CCC(=O)CC,CCC(O)CC,[CH3:1][CH2:2][C:3](=[O:4])[CH2:5][CH3:6]>>[CH3:1][CH2:2][CH:3]([OH:4])[CH2:5][CH3:6],"H2, Pd or Ni",[CH;D3;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2],[C:1]-[CH;D3;+0:2](-[C:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4]
785,CC(C)C(=O)CC,CC(C)C(O)CC,[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH2:6][CH3:7]>>[CH3:1][CH:2]([CH3:3])[CH:4]([OH:5])[CH2:6][CH3:7],"H2, Pd or Ni",[CH;D3;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2],[C:1]-[CH;D3;+0:2](-[C:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4]
786,CC(C)C(=O)C(C)C,CC(C)C(O)C(C)C,[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH:6]([CH3:7])[CH3:8]>>[CH3:1][CH:2]([CH3:3])[CH:4]([OH:5])[CH:6]([CH3:7])[CH3:8],"H2, Pd or Ni",[CH;D3;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2],[C:1]-[CH;D3;+0:2](-[C:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4]
787,CC(C)(C)C(=O)C(C)C,CC(C)(C)C(O)C(C)C,[CH3:1][C:2]([CH3:3])([CH3:4])[C:5](=[O:6])[CH:7]([CH3:8])[CH3:9]>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH:5]([OH:6])[CH:7]([CH3:8])[CH3:9],"H2, Pd or Ni",[CH;D3;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2],[C:1]-[CH;D3;+0:2](-[C:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4]
788,CC(C)(C)C(=O)C(C)(C)C,CC(C)(C)C(O)C(C)(C)C,[CH3:8][C:7]([CH3:9])([CH3:10])[C:5](=[O:6])[C:2]([CH3:1])([CH3:3])[CH3:4]>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH:5]([OH:6])[C:7]([CH3:8])([CH3:9])[CH3:10],"H2, Pd or Ni",[CH;D3;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2],[C:1]-[CH;D3;+0:2](-[C:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4]
789,C=O,CO,[CH2:1]=[O:2]>>[CH3:1][OH:2],"LiAlH4, 乙醚orTHF",[CH3;D1;+0:1]-[OH;D1;+0:2]>>[CH2;D1;+0:1]=[O;H0;D1;+0:2],[CH3;D1;+0:1]-[OH;D1;+0:2]>>[CH2;D1;+0:1]=[O;H0;D1;+0:2]
790,CC=O,CCO,[CH3:1][CH:2]=[O:3]>>[CH3:1][CH2:2][OH:3],"LiAlH4, 乙醚orTHF",[CH2;D2;+0:1]-[OH;D1;+0:2]>>[CH;D2;+0:1]=[O;H0;D1;+0:2],[C;D1;H3:1]-[CH2;D2;+0:2]-[OH;D1;+0:3]>>[C;D1;H3:1]-[CH;D2;+0:2]=[O;H0;D1;+0:3]
791,CC(=O)C,CC(O)C,[CH3:1][C:2](=[O:3])[CH3:4]>>[CH3:1][CH:2]([OH:3])[CH3:4],"LiAlH4, 乙醚orTHF",[CH;D3;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2],[C;D1;H3:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[OH;D1;+0:4]>>[C;D1;H3:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[O;H0;D1;+0:4]
792,CCC(=O)C,CCC(O)C,[CH3:1][CH2:2][C:3](=[O:4])[CH3:5]>>[CH3:1][CH2:2][CH:3]([OH:4])[CH3:5],"LiAlH4, 乙醚orTHF",[CH;D3;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2],[C:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[O;H0;D1;+0:4]
793,CCC(=O)CC,CCC(O)CC,[CH3:1][CH2:2][C:3](=[O:4])[CH2:5][CH3:6]>>[CH3:1][CH2:2][CH:3]([OH:4])[CH2:5][CH3:6],"LiAlH4, 乙醚orTHF",[CH;D3;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2],[C:1]-[CH;D3;+0:2](-[C:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4]
794,CC(C)C(=O)CC,CC(C)C(O)CC,[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH2:6][CH3:7]>>[CH3:1][CH:2]([CH3:3])[CH:4]([OH:5])[CH2:6][CH3:7],"LiAlH4, 乙醚orTHF",[CH;D3;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2],[C:1]-[CH;D3;+0:2](-[C:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4]
795,CC(C)C(=O)C(C)C,CC(C)C(O)C(C)C,[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH:6]([CH3:7])[CH3:8]>>[CH3:1][CH:2]([CH3:3])[CH:4]([OH:5])[CH:6]([CH3:7])[CH3:8],"LiAlH4, 乙醚orTHF",[CH;D3;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2],[C:1]-[CH;D3;+0:2](-[C:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4]
796,CC(C)(C)C(=O)C(C)C,CC(C)(C)C(O)C(C)C,[CH3:1][C:2]([CH3:3])([CH3:4])[C:5](=[O:6])[CH:7]([CH3:8])[CH3:9]>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH:5]([OH:6])[CH:7]([CH3:8])[CH3:9],"LiAlH4, 乙醚orTHF",[CH;D3;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2],[C:1]-[CH;D3;+0:2](-[C:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4]
797,CC(C)(C)C(=O)C(C)(C)C,CC(C)(C)C(O)C(C)(C)C,[CH3:8][C:7]([CH3:9])([CH3:10])[C:5](=[O:6])[C:2]([CH3:1])([CH3:3])[CH3:4]>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH:5]([OH:6])[C:7]([CH3:8])([CH3:9])[CH3:10],"LiAlH4, 乙醚orTHF",[CH;D3;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2],[C:1]-[CH;D3;+0:2](-[C:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4]
798,C=O,CO,[CH2:1]=[O:2]>>[CH3:1][OH:2],"NaBH4, 醇",[CH3;D1;+0:1]-[OH;D1;+0:2]>>[CH2;D1;+0:1]=[O;H0;D1;+0:2],[CH3;D1;+0:1]-[OH;D1;+0:2]>>[CH2;D1;+0:1]=[O;H0;D1;+0:2]
799,CC=O,CCO,[CH3:1][CH:2]=[O:3]>>[CH3:1][CH2:2][OH:3],"NaBH4, 醇",[CH2;D2;+0:1]-[OH;D1;+0:2]>>[CH;D2;+0:1]=[O;H0;D1;+0:2],[C;D1;H3:1]-[CH2;D2;+0:2]-[OH;D1;+0:3]>>[C;D1;H3:1]-[CH;D2;+0:2]=[O;H0;D1;+0:3]
800,CC(=O)C,CC(O)C,[CH3:1][C:2](=[O:3])[CH3:4]>>[CH3:1][CH:2]([OH:3])[CH3:4],"NaBH4, 醇",[CH;D3;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2],[C;D1;H3:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[OH;D1;+0:4]>>[C;D1;H3:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[O;H0;D1;+0:4]
801,CCC(=O)C,CCC(O)C,[CH3:1][CH2:2][C:3](=[O:4])[CH3:5]>>[CH3:1][CH2:2][CH:3]([OH:4])[CH3:5],"NaBH4, 醇",[CH;D3;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2],[C:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[O;H0;D1;+0:4]
802,CCC(=O)CC,CCC(O)CC,[CH3:1][CH2:2][C:3](=[O:4])[CH2:5][CH3:6]>>[CH3:1][CH2:2][CH:3]([OH:4])[CH2:5][CH3:6],"NaBH4, 醇",[CH;D3;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2],[C:1]-[CH;D3;+0:2](-[C:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4]
803,CC(C)C(=O)CC,CC(C)C(O)CC,[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH2:6][CH3:7]>>[CH3:1][CH:2]([CH3:3])[CH:4]([OH:5])[CH2:6][CH3:7],"NaBH4, 醇",[CH;D3;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2],[C:1]-[CH;D3;+0:2](-[C:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4]
804,CC(C)C(=O)C(C)C,CC(C)C(O)C(C)C,[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH:6]([CH3:7])[CH3:8]>>[CH3:1][CH:2]([CH3:3])[CH:4]([OH:5])[CH:6]([CH3:7])[CH3:8],"NaBH4, 醇",[CH;D3;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2],[C:1]-[CH;D3;+0:2](-[C:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4]
805,CC(C)(C)C(=O)C(C)C,CC(C)(C)C(O)C(C)C,[CH3:1][C:2]([CH3:3])([CH3:4])[C:5](=[O:6])[CH:7]([CH3:8])[CH3:9]>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH:5]([OH:6])[CH:7]([CH3:8])[CH3:9],"NaBH4, 醇",[CH;D3;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2],[C:1]-[CH;D3;+0:2](-[C:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4]
806,CC(C)(C)C(=O)C(C)(C)C,CC(C)(C)C(O)C(C)(C)C,[CH3:8][C:7]([CH3:9])([CH3:10])[C:5](=[O:6])[C:2]([CH3:1])([CH3:3])[CH3:4]>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH:5]([OH:6])[C:7]([CH3:8])([CH3:9])[CH3:10],"NaBH4, 醇",[CH;D3;+0:1]-[OH;D1;+0:2]>>[C;H0;D3;+0:1]=[O;H0;D1;+0:2],[C:1]-[CH;D3;+0:2](-[C:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4]
807,C=O,C,[CH2:1]=O>>[CH4:1],"Zn(Hg),HCl,加热",[CH4;D0;+0:1]>>O=[CH2;D1;+0:1],[CH4;D0;+0:1]>>O=[CH2;D1;+0:1]
